id,lat,long,village,bed_hygiene,bird_nests_inside,chicken_coop_location,bedroom_clutter,dark_main_room,floor_type,construction_pile_type,firewood_location,grain_storage_in_house,house_age,house_hygiene,kitchen_location,land_for_agriculture,num_humans,num_chickens,num_dogs,num_pigs,sign_animals,sign_rats,condition_bedroom_wall,condition_house_wall,material_house_wall,material_roof,windows_in_bedroom,dist_perim,density,infestation,truth
166A_Amatillo,1123.525665075828,178.03392204749787,Amatillo,buena,no,adj_inside,no_acumula,si,tierra,ninguno,afuera_casa,si,2_to_6,buena,adentro_casa,owned,4,7,0,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,73.77331790628372,4,0,0
167 y 168_Amatillo,1123.4706133370228,177.9402645282146,Amatillo,mala,si,afuera_casa,si_acumula,si,tierra,ninguno,afuera_casa,si,7_or_more,mala,afuera_casa,owned,7,15,2,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,49.98316766796628,3,0,0
2_Cerrón,453.21148587891895,70.23392684995298,Cerrón,buena,no,afuera_casa,no_acumula,si,ladrillo,adobe_clay,afuera_casa,no,7_or_more,buena,adentro_casa,owned,1,10,0,0,FALSE,FALSE,buen_estado,buen_estado,adobe,alum_cement,FALSE,49.98342413337589,0,0,0
5_Cerrón,453.18122958497105,70.27940890622283,Cerrón,buena,no,no,no_acumula,no,tierra,ninguno,ninguno,no,7_or_more,buena,adentro_casa,no,3,15,1,0,TRUE,TRUE,buen_estado,buen_estado,bajareque,alum_cement,FALSE,151.40715677476737,3,0,0
6_Cerrón,453.1813148056179,70.27592432576661,Cerrón,buena,no,afuera_casa,no_acumula,no,tierra,ninguno,ninguno,no,7_or_more,buena,adentro_casa,owned,2,16,2,0,FALSE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,140.21662828404183,3,0,0
7_Cerrón,453.20236572927365,70.27417417375702,Cerrón,buena,no,adj_inside,si_acumula,no,tierra,ninguno,adentro_casa,si,7_or_more,buena,afuera_casa,owned,4,8,0,0,FALSE,FALSE,deterioradas,deterioradas,adobe,alum_cement,TRUE,155.54237803414193,3,0,0
9_Cerrón,453.1945532692877,70.28162500961439,Cerrón,buena,no,no,no_acumula,no,tierra,adobe_clay,adentro_casa,no,one_or_less,buena,afuera_casa,owned,2,10,2,0,FALSE,FALSE,deterioradas,deterioradas,adobe,alum_cement,TRUE,179.02230462484337,3,0,0
11_Cerrón,453.03137080559685,70.31887252106304,Cerrón,buena,no,afuera_casa,si_acumula,no,ladrillo,ninguno,afuera_casa,si,2_to_6,buena,adentro_casa,owned,4,6,2,0,FALSE,FALSE,buen_estado,buen_estado,brick_block_oth,alum_cement,TRUE,49.98277653886326,0,0,0
12_Cerrón,453.2452454944167,70.55200826262025,Cerrón,mala,si,no,si_acumula,si,tierra,ninguno,adentro_casa,no,7_or_more,mala,adentro_casa,owned,4,4,1,0,TRUE,TRUE,deterioradas,deterioradas,bajareque,alum_cement,FALSE,563.936833999347,0,1,1
15B_Cerrón,453.2007643010434,70.6861125974801,Cerrón,buena,si,afuera_casa,no_acumula,no,tierra,ninguno,adentro_casa,no,7_or_more,buena,adentro_casa,no,3,6,0,0,TRUE,TRUE,buen_estado,buen_estado,adobe,alum_cement,TRUE,869.0386606367691,1,0,0
